2026-06-02 14:32:13 | DEBUG    | ob_detector | OBs detected: 31 total | 23 active (16 bull / 7 bear)
2026-06-02 14:33:09 | DEBUG    | ob_detector | OBs detected: 31 total | 23 active (16 bull / 7 bear)
2026-06-02 14:33:39 | DEBUG    | ob_detector | OBs detected: 31 total | 23 active (16 bull / 7 bear)
2026-06-02 14:34:10 | DEBUG    | ob_detector | OBs detected: 31 total | 23 active (16 bull / 7 bear)
2026-06-02 14:34:40 | DEBUG    | ob_detector | OBs detected: 31 total | 23 active (16 bull / 7 bear)
2026-06-02 14:35:11 | DEBUG    | ob_detector | OBs detected: 32 total | 24 active (17 bull / 7 bear)
2026-06-02 14:35:41 | DEBUG    | ob_detector | OBs detected: 32 total | 24 active (17 bull / 7 bear)
2026-06-02 14:36:11 | DEBUG    | ob_detector | OBs detected: 32 total | 24 active (17 bull / 7 bear)
2026-06-02 14:36:41 | DEBUG    | ob_detector | OBs detected: 32 total | 23 active (18 bull / 5 bear)
2026-06-02 14:37:11 | DEBUG    | ob_detector | OBs detected: 32 total | 24 active (18 bull / 6 bear)
2026-06-02 14:37:42 | DEBUG    | ob_detector | OBs detected: 32 total | 23 active (18 bull / 5 bear)
2026-06-02 14:38:15 | DEBUG    | ob_detector | OBs detected: 32 total | 23 active (18 bull / 5 bear)
2026-06-02 14:38:48 | DEBUG    | ob_detector | OBs detected: 32 total | 23 active (18 bull / 5 bear)
2026-06-02 14:39:13 | DEBUG    | ob_detector | OBs detected: 32 total | 23 active (18 bull / 5 bear)
2026-06-02 14:39:42 | DEBUG    | ob_detector | OBs detected: 32 total | 21 active (18 bull / 3 bear)
2026-06-02 14:40:13 | DEBUG    | ob_detector | OBs detected: 31 total | 21 active (18 bull / 3 bear)
2026-06-02 14:40:45 | DEBUG    | ob_detector | OBs detected: 31 total | 21 active (18 bull / 3 bear)
2026-06-02 14:41:18 | DEBUG    | ob_detector | OBs detected: 31 total | 22 active (18 bull / 4 bear)
2026-06-02 14:41:45 | DEBUG    | ob_detector | OBs detected: 31 total | 21 active (18 bull / 3 bear)
2026-06-02 14:42:18 | DEBUG    | ob_detector | OBs detected: 31 total | 21 active (18 bull / 3 bear)
2026-06-02 14:42:45 | DEBUG    | ob_detector | OBs detected: 31 total | 21 active (18 bull / 3 bear)
2026-06-02 14:43:15 | DEBUG    | ob_detector | OBs detected: 31 total | 21 active (18 bull / 3 bear)
2026-06-02 14:43:45 | DEBUG    | ob_detector | OBs detected: 31 total | 19 active (18 bull / 1 bear)
2026-06-02 14:44:15 | DEBUG    | ob_detector | OBs detected: 31 total | 21 active (18 bull / 3 bear)
2026-06-02 14:44:45 | DEBUG    | ob_detector | OBs detected: 31 total | 20 active (18 bull / 2 bear)
2026-06-02 14:45:16 | DEBUG    | ob_detector | OBs detected: 31 total | 20 active (18 bull / 2 bear)
2026-06-02 14:45:46 | DEBUG    | ob_detector | OBs detected: 31 total | 21 active (18 bull / 3 bear)
2026-06-02 14:46:18 | DEBUG    | ob_detector | OBs detected: 31 total | 20 active (18 bull / 2 bear)
2026-06-02 14:46:50 | DEBUG    | ob_detector | OBs detected: 31 total | 19 active (18 bull / 1 bear)
2026-06-02 14:47:16 | DEBUG    | ob_detector | OBs detected: 31 total | 19 active (18 bull / 1 bear)
2026-06-02 14:47:47 | DEBUG    | ob_detector | OBs detected: 31 total | 21 active (18 bull / 3 bear)
2026-06-02 14:48:17 | DEBUG    | ob_detector | OBs detected: 31 total | 20 active (18 bull / 2 bear)
2026-06-02 14:48:47 | DEBUG    | ob_detector | OBs detected: 31 total | 21 active (18 bull / 3 bear)
2026-06-02 14:49:17 | DEBUG    | ob_detector | OBs detected: 31 total | 19 active (18 bull / 1 bear)
2026-06-02 14:49:47 | DEBUG    | ob_detector | OBs detected: 31 total | 20 active (18 bull / 2 bear)
2026-06-02 14:50:18 | DEBUG    | ob_detector | OBs detected: 30 total | 20 active (18 bull / 2 bear)
2026-06-02 14:50:48 | DEBUG    | ob_detector | OBs detected: 30 total | 20 active (18 bull / 2 bear)
2026-06-02 14:51:18 | DEBUG    | ob_detector | OBs detected: 30 total | 20 active (18 bull / 2 bear)
2026-06-02 14:51:48 | DEBUG    | ob_detector | OBs detected: 30 total | 20 active (18 bull / 2 bear)
2026-06-02 14:52:18 | DEBUG    | ob_detector | OBs detected: 30 total | 19 active (18 bull / 1 bear)
2026-06-02 14:52:48 | DEBUG    | ob_detector | OBs detected: 30 total | 18 active (18 bull / 0 bear)
2026-06-02 14:53:18 | DEBUG    | ob_detector | OBs detected: 30 total | 18 active (18 bull / 0 bear)
2026-06-02 14:53:49 | DEBUG    | ob_detector | OBs detected: 30 total | 19 active (18 bull / 1 bear)
2026-06-02 14:54:19 | DEBUG    | ob_detector | OBs detected: 30 total | 18 active (18 bull / 0 bear)
2026-06-02 14:54:50 | DEBUG    | ob_detector | OBs detected: 30 total | 18 active (18 bull / 0 bear)
2026-06-02 14:55:19 | DEBUG    | ob_detector | OBs detected: 30 total | 18 active (18 bull / 0 bear)
2026-06-02 14:55:50 | DEBUG    | ob_detector | OBs detected: 30 total | 18 active (18 bull / 0 bear)
